D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column
2002,Man,HBO,Doetinchem,Stedelijk,Eens,Helemaal eens,Neutraal,Neutraal,Neutraal,Eens,Eens,Eens,Eens,Helemaal Eens,Helemaal Eens,Oneens,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,Eens,Eens,Eens,Helemaal Eens,Oneens,Oneens,Oneens,Neutraal,Neutraal,5
2002,Man,WO Bachelor,Amsterdam,Stedelijk,Helemaal oneens,Helemaal eens,Helemaal oneens,Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Oneens,Oneens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,5
2003,Man,WO Bachelor,Huis ter Heide,Landelijk,Oneens,Helemaal eens,Helemaal oneens,Neutraal,Oneens,Eens,Eens,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Oneens,Eens,Helemaal oneens,Neutraal,Oneens,Eens,Eens,Eens,Eens,Eens,Oneens,Neutraal,Neutraal,Neutraal,Oneens,5
2003,Vrouw,WO Master,Leiden,Stedelijk,Neutraal,Helemaal eens,Neutraal,Oneens,Neutraal,Helemaal Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Oneens,Eens,Oneens,Oneens,Oneens,Neutraal,Neutraal,Oneens,Neutraal,Helemaal Eens,Eens,Helemaal Eens,Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,5
1979,Vrouw,WO Master,Makkinga,Landelijk,Oneens,Eens,Oneens,Oneens,Oneens,Eens,Oneens,Eens,Oneens,Eens,Eens,Eens,Helemaal eens,Eens,Eens,Oneens,Eens,Oneens,Oneens,Oneens,Eens,Oneens,Eens,Oneens,Eens,Helemaal Eens,Neutraal,Oneens,Neutraal,Neutraal,5
2002,Vrouw,WO Master,Smilde,Stedelijk,Eens,Helemaal eens,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Oneens,Oneens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Oneens,Eens,Eens,Eens,Oneens,Oneens,Eens,Eens,Oneens,5
2003,Vrouw,HBO,Utrecht,Stedelijk,Helemaal eens,Helemaal eens,Eens,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Neutraal,Oneens,Neutraal,Neutraal,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Eens,Eens,Oneens,Neutraal,Helemaal oneens,Oneens,Oneens,5
1997,Vrouw,WO Master,Groningen,Stedelijk,Neutraal,Helemaal eens,Neutraal,Eens,Eens,Eens,Neutraal,Helemaal Eens,Neutraal,Eens,Helemaal Eens,Oneens,Eens,Eens,Neutraal,Neutraal,Eens,Oneens,Eens,Eens,Eens,Neutraal,Helemaal Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,5
2002,Man,HBO,Utrecht,Stedelijk,Oneens,Eens,Oneens,Eens,Neutraal,Eens,Oneens,Eens,Oneens,Eens,Eens,Helemaal oneens,Eens,Eens,Neutraal,Eens,Neutraal,Oneens,Eens,Neutraal,Eens,Oneens,Eens,Oneens,Eens,Eens,Helemaal Eens,Helemaal Eens,Neutraal,Eens,5
2002,Vrouw,WO Bachelor,Assen,Stedelijk,Eens,Eens,Helemaal oneens,Neutraal,Neutraal,Eens,Oneens,Helemaal oneens,Neutraal,Eens,Neutraal,Oneens,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,Oneens,Helemaal oneens,Neutraal,Eens,Helemaal Eens,Eens,Eens,Neutraal,Neutraal,5
2001,Vrouw,WO Bachelor,Jubbega,Landelijk,Eens,Eens,Oneens,Neutraal,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Eens,Helemaal oneens,Neutraal,Oneens,Oneens,Neutraal,Oneens,Helemaal oneens,Neutraal,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,5
2002,Man,HBO,"Växjö, Zweden",Stedelijk,Helemaal oneens,Neutraal,Helemaal oneens,Helemaal eens,Helemaal eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Neutraal,Helemaal Eens,Helemaal Eens,Oneens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Helemaal eens,Helemaal eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Neutraal,Helemaal Eens,Neutraal,Eens,Eens,Eens,Eens,5
2002,Man,HBO,Den Haag,Stedelijk,Eens,Neutraal,Eens,Oneens,Eens,Neutraal,Helemaal Eens,Helemaal Eens,Eens,Helemaal Eens,Neutraal,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Oneens,Oneens,Eens,Neutraal,Helemaal Eens,Helemaal Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,Neutraal,5
2003,Man,WO Bachelor,Buitenpost,Landelijk,Eens,Helemaal eens,Oneens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Neutraal,Helemaal oneens,Oneens,Oneens,Oneens,Oneens,Oneens,Oneens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Oneens,Oneens,Eens,Oneens,Neutraal,5
2002,Man,WO Bachelor,Jubbeg,"Anders, namelijk",Oneens,Helemaal eens,Oneens,Neutraal,Eens,Eens,Oneens,Eens,Helemaal Eens,Neutraal,Oneens,Eens,Eens,Helemaal eens,Neutraal,Oneens,Neutraal,Oneens,Neutraal,Eens,Eens,Oneens,Eens,Helemaal Eens,Neutraal,Helemaal Eens,Oneens,Eens,Neutraal,Neutraal,5
2003,Man,HBO,Groningen,Stedelijk,Oneens,Helemaal eens,Eens,Oneens,Oneens,Eens,Eens,Oneens,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Eens,Oneens,Eens,Oneens,Oneens,Oneens,Eens,Eens,Oneens,Eens,Eens,Oneens,Oneens,Oneens,Oneens,Oneens,5
1999,Vrouw,WO Bachelor,Friesland,Landelijk,Eens,Helemaal eens,Oneens,Neutraal,Oneens,Eens,Oneens,Eens,Eens,Oneens,Eens,,,,,,,,Neutraal,Oneens,Eens,Oneens,Eens,Eens,Oneens,,,,,,5
