D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column,meanA,meanB,meanBI,meanPE,meanSN,meanTotal,5,7,1,3,4,Extreme,Neutral
21,Man,HBO,Utrecht,Stedelijk,2,4,2,4,3,4,2,4,2,4,4,1,4,4,3,4,3,2,4,3,4,2,4,2,4,4,5,5,3,4,5,3.2857142857142856,4.2,3.0,3.3333333333333335,3.0,6.117006802721089,3,0,1,8,15,4.0,8.0
21,Vrouw,WO Bachelor,Assen,Stedelijk,4,4,1,3,3,4,2,1,3,4,3,2,4,4,4,3,4,3,3,3,4,2,1,3,4,5,4,4,3,3,5,2.857142857142857,3.8,3.0,2.8333333333333335,3.4285714285714284,5.9884353741496605,2,0,3,13,12,5.0,13.0
22,Vrouw,WO Bachelor,Jubbega,Landelijk,4,4,2,3,3,4,3,4,3,4,4,1,3,2,2,3,2,1,3,3,4,3,4,3,4,5,5,5,5,5,5,3.4285714285714284,5.0,3.2,3.6666666666666665,2.0,6.327891156462585,7,1,3,11,9,10.0,11.0
21,Man,HBO,"Växjö, Zweden",Stedelijk,1,3,1,5,5,5,5,5,3,5,5,2,3,3,3,3,3,3,5,5,5,5,5,3,5,3,4,4,4,4,5,4.714285714285714,3.8,3.0,4.666666666666667,2.857142857142857,6.434013605442176,14,0,2,11,4,16.0,11.0
21,Man,HBO,Den Haag,Stedelijk,4,3,4,2,4,3,5,5,4,5,3,4,4,4,3,4,3,2,2,4,3,5,5,4,5,4,4,4,4,3,5,4.0,3.8,3.4,4.166666666666667,3.4285714285714284,6.3993197278911556,7,1,1,7,15,8.0,7.0
20,Man,WO Bachelor,Buitenpost,Landelijk,4,5,2,3,4,4,3,4,4,4,3,1,2,2,2,2,2,2,3,4,4,3,4,4,4,2,2,4,2,3,5,3.7142857142857144,2.6,3.6,3.6666666666666665,1.8571428571428572,5.776870748299319,2,0,1,6,12,3.0,6.0
21,Man,WO Bachelor,Jubbeg,"Anders, namelijk",2,5,2,3,4,4,2,4,5,3,2,4,4,5,3,2,3,2,3,4,4,2,4,5,3,5,2,4,3,3,5,3.5714285714285716,3.4,3.2,3.3333333333333335,3.2857142857142856,6.112925170068029,6,0,0,8,9,6.0,8.0
20,Man,HBO,Groningen,Stedelijk,2,5,4,2,2,4,4,2,4,4,4,3,4,3,4,2,4,2,2,2,4,4,2,4,4,2,2,2,2,2,5,3.142857142857143,2.0,3.0,3.6666666666666665,3.142857142857143,5.707482993197279,2,0,0,3,13,2.0,3.0
24,Vrouw,WO Bachelor,Friesland,Landelijk,4,5,2,3,2,4,2,4,4,2,4,,,,,,,,3,2,4,2,4,4,2,,,,,,5,3.0,,3.2,3.3333333333333335,,7.706666666666668,2,0,0,3,8,2.0,3.0
22,Vrouw,HBO,Wijnjewoude,Landelijk,4,5,2,3,2,5,,,,,,2,4,5,2,2,2,2,3,2,5,,,,,5,2,4,4,4,5,3.3333333333333335,3.8,3.2,5.0,2.7142857142857144,6.435374149659864,7,1,1,2,5,8.0,2.0
20,Vrouw,WO Bachelor,Groningen,Stedelijk,1,5,1,3,3,5,1,4,4,4,3,2,5,4,5,2,4,4,3,3,5,1,4,4,4,5,4,4,4,5,5,3.4285714285714284,4.4,2.6,3.5,3.7142857142857144,6.091836734693878,8,0,4,5,13,12.0,5.0
21,Vrouw,HBO,Groningen,Stedelijk,2,5,3,4,4,4,5,5,4,5,5,4,2,2,3,2,2,2,4,4,5,5,4,5,5,3,2,4,2,,5,4.571428571428571,2.75,3.6,4.666666666666667,2.4285714285714284,6.288095238095238,10,0,0,3,9,10.0,3.0
19,Vrouw,HBO,Assen,Stedelijk,2,5,2,2,2,4,4,4,4,2,4,2,4,3,2,2,2,1,2,4,4,4,4,2,4,1,1,4,3,2,5,3.4285714285714284,2.2,2.6,3.6666666666666665,2.2857142857142856,5.4544217687074825,2,0,3,3,12,5.0,3.0
19,Vrouw,HBO,Ravenswoud,Landelijk,4,5,3,4,4,4,4,4,4,3,4,2,4,4,4,2,2,2,4,4,4,4,4,3,4,2,2,4,4,2,5,3.857142857142857,2.8,4.0,3.8333333333333335,2.857142857142857,5.906802721088435,2,0,0,3,20,2.0,3.0
21,Vrouw,WO Master,Heerenveen,Stedelijk,3,4,3,2,2,4,4,4,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,4,5,2,5,3,3,5,3.7142857142857144,3.6,2.8,4.0,3.142857142857143,6.179591836734694,3,0,0,5,18,3.0,5.0
21,Vrouw,WO Bachelor,Groningen,Stedelijk,2,5,2,2,2,1,4,4,4,4,3,2,1,1,2,3,3,2,2,1,4,4,4,4,3,5,2,1,1,,5,3.142857142857143,2.25,2.6,3.3333333333333335,2.0,5.618027210884354,3,0,6,5,8,9.0,5.0
23,Vrouw,HBO,Haarlem,Stedelijk,4,5,2,4,2,4,4,4,5,2,4,2,4,2,4,2,2,1,4,4,4,5,2,4,2,5,5,5,2,5,5,3.5714285714285716,4.4,3.4,3.8333333333333335,2.4285714285714284,6.51904761904762,8,0,1,0,12,9.0,0.0
22,Vrouw,WO Bachelor,Den Bosch,Stedelijk,4,4,2,5,5,5,5,5,2,5,5,2,4,4,3,3,3,3,5,5,2,4,4,3,3,4,2,4,3,2,5,3.7142857142857144,3.0,4.0,4.5,3.142857142857143,6.479591836734694,10,0,0,8,9,10.0,8.0
25,Vrouw,WO Bachelor,Jubbega,Landelijk,2,5,2,3,2,4,2,4,4,3,2,3,4,2,4,2,4,2,3,2,3,4,2,4,2,4,2,4,3,3,5,2.857142857142857,3.2,2.8,3.1666666666666665,3.0,6.431972789115646,2,0,0,8,10,2.0,8.0
19,Man,WO Bachelor,Groningen,Stedelijk,2,5,2,2,3,4,3,4,3,4,3,5,2,2,3,4,3,4,3,4,3,5,2,2,3,4,3,4,3,4,5,3.142857142857143,3.6,2.8,3.5,3.2857142857142856,5.761224489795919,4,0,0,11,10,4.0,11.0
